Country,Year,Status,Alcohol,percentageexpenditure,HepatitisB,Measles,BMI,Polio,Totalexpenditure,Diphtheria,HIV/AIDS,thinness1-19years,thinness5-9years,Incomecompositionofresources
Colombia,2000,Developing,4.66,477.1341814,78,1,46.7,82,5.91,79,0.1,2.6,2.3,0.65
Comoros,2015,Developing,,0,91,0,24.2,92,,91,0.8,6.7,6.5,0.498
Comoros,2014,Developing,0.01,73.86584922,88,0,23.7,87,6.75,87,0.8,6.8,6.6,0.497
Comoros,2013,Developing,0.01,61.57443584,88,0,23.2,85,6.51,87,0.8,6.8,6.6,0.49
Comoros,2012,Developing,0.01,78.39008571,89,1,22.6,85,7.11,86,0.8,6.9,6.7,0.484
Comoros,2011,Developing,0.12,59.6596497,83,3,22.1,85,6.1,83,0.2,7,6.8,0.479
Comoros,2010,Developing,0.15,47.30421873,74,0,21.6,82,5.82,74,0.1,7.1,6.9,0.476
Comoros,2009,Developing,0.17,56.98952474,83,1,21.1,84,3.82,83,0.1,7.2,7,0.465
Comoros,2008,Developing,0.12,93.36788979,81,0,2.6,81,5.13,81,0.1,7.2,7.1,0.461
Comoros,2007,Developing,0.16,9.087638194,75,0,2.1,75,4.93,75,0.1,7.3,7.2,0.459
Comoros,2006,Developing,0.25,77.0283958,69,85,19.6,69,4.57,69,0.1,7.4,7.3,0.451
Comoros,2005,Developing,0.24,69.9675435,68,912,19.2,67,4.32,68,0.1,7.5,7.4,0.434
Comoros,2004,Developing,0.27,7.212110766,77,0,18.8,73,3.96,76,0.1,7.5,7.5,0
Comoros,2003,Developing,0.26,45.09010835,28,0,18.4,8,3.65,8,0.1,7.6,7.6,0
Comoros,2002,Developing,0.08,29.41897495,,0,18,98,3.39,89,0.1,7.7,7.7,0
Comoros,2001,Developing,0.08,19.71741043,,0,17.6,7,2.86,7,0.1,7.8,7.8,0
Comoros,2000,Developing,0.09,35.02948624,,0,17.3,7,3.56,7,0.1,7.9,7.9,0
Congo,2015,Developing,,0,8,1359,27.4,8,,8,2.8,7.5,7.1,0.59
Congo,2014,Developing,0.01,0,9,71,26.8,9,5.15,9,3,7.6,7.3,0.581
Congo,2013,Developing,0.01,0,85,124,26.2,85,5.9,85,3,7.7,7.4,0.576
Congo,2012,Developing,0.01,0,62,260,25.6,61,3.98,85,3.3,7.9,7.5,0.557
Congo,2011,Developing,3.82,0,7,315,25,69,2.79,82,3.5,8,7.6,0.558
Congo,2010,Developing,3.53,0,74,4,24.5,72,2.29,74,3.8,8.1,7.7,0.548
Congo,2009,Developing,3.47,0,75,1,23.9,76,2.27,78,4,8.3,7.9,0.545
Congo,2008,Developing,2.58,0,73,2,23.3,77,2.9,79,4.3,8.4,8,0.527
Congo,2007,Developing,2.75,0,64,84,22.8,71,2.54,72,5,8.5,8.2,0.517
Congo,2006,Developing,2.25,0,,126,22.3,73,2.37,73,5.5,8.7,8.3,0.507
Congo,2005,Developing,2.03,0,,146,21.7,62,2.42,62,5.9,8.8,8.5,0.496
Congo,2004,Developing,2.58,0,,3524,21.2,67,2.56,67,6.3,9,8.6,0.497
Congo,2003,Developing,2.45,0,,3712,2.7,5,2.61,5,6.8,9.1,8.8,0.492
Congo,2002,Developing,2.55,0,,2788,2.3,41,2.45,41,7.2,9.3,8.9,0.488
Congo,2001,Developing,2.3,0,,2152,19.8,32,2.44,31,7.6,9.4,9,0.487
Congo,2000,Developing,2.26,0,,1678,19.3,31,2.13,33,7.8,9.5,9.2,0.487
CookIslands,2013,Developing,0.01,0,98,0,82.8,98,3.58,98,0.1,0.1,0.1,
CostaRica,2015,Developing,,0,92,0,6.5,92,,92,0.1,1.7,1.7,0.775
CostaRica,2014,Developing,3.45,384.5129138,91,1,59.5,91,9.31,91,0.1,1.7,1.7,0.768
CostaRica,2013,Developing,3.42,386.1379123,94,0,58.5,95,9.47,95,0.1,1.7,1.7,0.762
CostaRica,2012,Developing,3.34,2568.237059,91,0,57.5,9,9.56,91,0.1,1.8,1.7,0.758
CostaRica,2011,Developing,3.41,2429.854745,84,0,56.5,82,9.73,85,0.1,1.8,1.7,0.752
CostaRica,2010,Developing,3.58,2377.010299,89,0,55.5,93,9.66,88,0.1,1.8,1.8,0.749
CostaRica,2009,Developing,4.07,24.88720369,87,0,54.4,8,9.69,86,0.1,1.9,1.8,0.747
CostaRica,2008,Developing,4.22,1859.095621,89,0,53.4,89,9.1,9,0.1,1.9,1.8,0.74
CostaRica,2007,Developing,4.2,150.8891479,89,0,52.4,89,8.37,89,0.1,1.9,1.9,0.734
CostaRica,2006,Developing,4.15,1185.412346,88,0,51.4,89,7.82,89,0.1,2,1.9,0.727
CostaRica,2005,Developing,4.1,1002.833273,9,1,5.3,91,7.74,91,0.1,2,2,0.723
CostaRica,2004,Developing,4.09,1043.10795,89,0,49.3,9,7.8,9,0.1,2.1,2,0.719
CostaRica,2003,Developing,4.04,1070.268999,86,1,48.3,88,8.45,88,0.1,2.2,2.1,0.715
CostaRica,2002,Developing,4.17,112.9493745,94,0,47.3,94,8.23,94,0.1,2.2,2.2,0.712
CostaRica,2001,Developing,4.29,868.3713593,8,0,46.4,92,7.25,91,0.1,2.3,2.2,0.708
CostaRica,2000,Developing,4.34,94.17819458,89,0,45.4,8,7.12,88,0.1,2.4,2.3,0.702
Croatia,2015,Developed,,0,94,206,63.7,94,,94,0.1,1.5,1.4,0.823
Croatia,2014,Developed,12.14,1884.098811,95,0,63.1,95,7.8,95,0.1,1.5,1.5,0.82
Croatia,2013,Developed,12.39,1899.107385,96,0,62.5,96,7.83,96,0.1,1.5,1.5,0.817
Croatia,2012,Developed,11.49,1851.713262,98,2,61.9,96,7.8,96,0.1,1.5,1.5,0.815
Croatia,2011,Developed,12.19,1913.356642,97,12,61.3,96,7.8,96,0.1,1.6,1.5,0.808
Croatia,2010,Developed,12.1,206.8868182,97,7,6.6,97,8.25,97,0.1,1.6,1.6,0.803
Croatia,2009,Developed,12.21,2160.380199,97,2,6,96,8.18,96,0.1,1.7,1.6,0.803
Croatia,2008,Developed,12.06,2425.403891,97,51,59.4,96,7.7,96,0.1,1.7,1.7,0.8
Croatia,2007,Developed,12.56,2019.812779,95,0,58.7,96,7.44,96,0.1,1.8,1.7,0.793
Croatia,2006,Developed,11.83,1555.651986,,1,58.1,96,6.95,96,0.1,1.8,1.8,0.783
Croatia,2005,Developed,11.59,167.2319899,,2,57.5,96,6.89,96,0.1,1.8,1.8,0.777
Croatia,2004,Developed,13.11,1116.396502,,54,56.9,96,6.56,96,0.1,1.9,1.9,0.771
Croatia,2003,Developed,13.78,93.67706503,,19,56.3,95,6.35,94,0.1,1.9,1.9,0.765
Croatia,2002,Developed,13.39,11.63615139,,6,55.8,95,6.19,95,0.1,2,2,0.759
Croatia,2001,Developed,13.15,650.9567981,,8,55.2,94,7.16,94,0.1,2,2,0.749
Croatia,2000,Developed,12.73,649.3909871,,9,54.7,94,7.66,93,0.1,2.1,2.1,0.739
Cuba,2015,Developing,,0,99,0,61.4,99,,99,0.1,3.5,3.3,0.773
Cuba,2014,Developing,4.37,13.6691019,97,0,6.7,99,11.6,99,0.1,3.4,3.3,0.772
Cuba,2013,Developing,4.18,95.67571176,96,0,59.9,99,9.48,99,0.1,3.4,3.3,0.773
Cuba,2012,Developing,4.16,742.1961992,96,0,59.2,98,8.59,99,0.1,3.4,3.2,0.778
Cuba,2011,Developing,4.14,102.0645784,96,0,58.4,99,1.6,97,0.1,3.4,3.2,0.78
Cuba,2010,Developing,4.13,787.2808163,96,0,57.7,99,1.19,96,0.1,3.4,3.2,0.784
Cuba,2009,Developing,4.01,818.8771016,96,0,56.9,99,11.78,96,0.1,3.4,3.2,0.782
Cuba,2008,Developing,4.26,708.6157966,95,0,56.2,99,1.79,95,0.1,3.4,3.2,0.771
Cuba,2007,Developing,4.13,750.7147641,93,0,55.4,99,1.42,93,0.1,3.4,3.2,0.754
Cuba,2006,Developing,4.17,523.4724284,89,0,54.6,99,7.67,89,0.1,3.4,3.2,0.732
Cuba,2005,Developing,4.48,518.9359221,95,0,53.8,99,9.39,89,0.1,3.4,3.3,0.719
Cuba,2004,Developing,4.38,4.484254579,99,0,53,98,6.14,88,0.1,3.4,3.3,0.705
Cuba,2003,Developing,4.39,60.34145124,99,0,52.1,98,6.31,72,0.1,3.5,3.3,0.694
Cuba,2002,Developing,4.1,334.7672107,98,0,51.3,98,6.5,99,0.1,3.5,3.3,0.692
Cuba,2001,Developing,4.04,322.5863149,98,0,5.4,99,6.27,98,0.1,3.6,3.4,0.686
Cuba,2000,Developing,3.92,49.34007756,98,0,49.4,98,6.7,95,0.1,3.6,3.4,0.679
Cyprus,2015,Developed,,0,97,0,6.3,97,,97,0.1,1,1,0.854
Cyprus,2014,Developed,0.01,207.3041936,96,10,59.8,99,7.37,99,0.1,0.9,1,0.85
Cyprus,2013,Developed,9.04,212.0859259,96,0,59.2,99,7.46,99,0.1,0.9,1,0.85
Cyprus,2012,Developed,10.55,2159.756205,96,1,58.7,99,7.44,99,0.1,0.9,1,0.85
Cyprus,2011,Developed,10.69,2443.325028,96,0,58.3,99,7.54,99,0.1,0.9,1,0.847
Cyprus,2010,Developed,11.32,283.3300258,96,18,57.8,99,7.23,99,0.1,0.9,1,0.853
Cyprus,2009,Developed,10.8,230.2524184,96,0,57.3,99,7.4,99,0.1,0.9,1,0.849
Cyprus,2008,Developed,12.01,239.6409938,93,1,56.8,97,6.89,97,0.1,0.9,1,0.844
Cyprus,2007,Developed,11.56,1958.525877,93,0,56.3,97,6.5,97,0.1,0.9,1,0.836
Cyprus,2006,Developed,11.47,1700.841534,93,0,55.8,97,6.28,97,0.1,0.9,1,0.829
Cyprus,2005,Developed,11.41,1562.520827,88,1,55.3,98,6.37,98,0.1,0.9,1,0.826
Cyprus,2004,Developed,13.03,1586.724172,88,0,54.8,98,6.42,98,0.1,0.9,1,0.823
Cyprus,2003,Developed,10.62,158.7087399,88,0,54.3,98,6.83,98,0.1,0.9,1,0.815
Cyprus,2002,Developed,11.68,1128.050886,88,0,53.8,98,6.12,98,0.1,0.9,1,0.805
Cyprus,2001,Developed,10.16,100.8086193,89,0,53.3,97,5.78,97,0.1,0.9,1,0.8
Cyprus,2000,Developed,9.56,950.8027925,89,0,52.8,97,5.77,97,0.1,0.9,1,0.798
Czechia,2015,Developed,,0,97,9,66.1,97,,97,0.1,1.8,1.8,
Czechia,2014,Developed,12.68,0,99,222,65.6,99,7.41,97,0.1,1.8,1.9,
Czechia,2013,Developed,12.45,0,99,15,65.1,99,7.49,98,0.1,1.8,1.9,
Czechia,2012,Developed,12.71,0,99,22,64.5,99,7.55,99,0.1,1.8,1.9,
Czechia,2011,Developed,12.43,0,99,17,64,99,7.5,99,0.1,1.9,1.9,
Czechia,2010,Developed,12.69,0,99,0,63.6,99,7.43,99,0.1,1.9,2,
Czechia,2009,Developed,13.23,0,99,5,63.1,99,7.85,99,0.1,1.9,2,
Czechia,2008,Developed,13.25,0,99,2,62.6,99,6.82,99,0.1,1.9,2,
Czechia,2007,Developed,13.43,0,99,2,62.2,99,6.52,99,0.1,2,2.1,
Czechia,2006,Developed,13.03,0,98,7,61.8,98,6.69,98,0.1,2,2.1,
Czechia,2005,Developed,13.19,0,99,0,61.3,96,6.93,97,0.1,2.1,2.1,
Czechia,2004,Developed,13.24,0,98,17,6.8,96,6.9,98,0.1,2.1,2.2,
Czechia,2003,Developed,13.01,0,92,30,6.4,97,7.13,97,0.1,2.2,2.2,
Czechia,2002,Developed,13.47,0,86,4,59.9,97,6.8,98,0.1,2.2,2.3,
Czechia,2001,Developed,13.36,0,,6,59.4,97,6.42,98,0.1,2.2,2.3,
Czechia,2000,Developed,13.22,0,,9,59,98,6.31,98,0.1,2.3,2.3,
DemocraticPeople'sRepublicofKorea,2015,Developing,,0,96,0,32.9,99,,96,0.1,4.9,4.9,
DemocraticPeople'sRepublicofKorea,2014,Developing,0.01,0,93,3,32.4,99,,93,0.1,4.9,4.9,
DemocraticPeople'sRepublicofKorea,2013,Developing,3.35,0,93,0,31.8,99,,93,0.1,5,5,
DemocraticPeople'sRepublicofKorea,2012,Developing,3.61,0,96,0,31.3,99,,96,0.1,5.1,5.1,
DemocraticPeople'sRepublicofKorea,2011,Developing,3.39,0,94,0,3.8,99,,94,0.1,5.1,5.2,
DemocraticPeople'sRepublicofKorea,2010,Developing,3.12,0,93,0,3.3,99,,93,0.1,5.2,5.2,
DemocraticPeople'sRepublicofKorea,2009,Developing,3.35,0,93,0,29.7,98,,93,0.1,5.3,5.3,
DemocraticPeople'sRepublicofKorea,2008,Developing,3.16,0,92,8,29.2,98,,92,0.1,5.4,5.4,
DemocraticPeople'sRepublicofKorea,2007,Developing,3.13,0,92,3550,28.7,99,,92,0.1,5.5,5.5,
DemocraticPeople'sRepublicofKorea,2006,Developing,3.28,0,96,0,28.2,98,,89,0.1,5.6,5.6,
DemocraticPeople'sRepublicofKorea,2005,Developing,3.21,0,92,0,27.7,97,,79,0.1,5.7,5.7,
DemocraticPeople'sRepublicofKorea,2004,Developing,3.13,0,98,0,27.2,99,,72,0.1,5.7,5.7,
DemocraticPeople'sRepublicofKorea,2003,Developing,3.13,0,27,0,26.7,99,,68,0.1,5.8,5.8,
DemocraticPeople'sRepublicofKorea,2002,Developing,3.08,0,,0,26.2,99,,64,0.1,5.9,5.9,
DemocraticPeople'sRepublicofKorea,2001,Developing,2.53,0,,0,25.7,98,,62,0.1,5.9,6,
DemocraticPeople'sRepublicofKorea,2000,Developing,3.52,0,,0,25.2,93,,56,0.1,6,6,
DemocraticRepublicoftheCongo,2015,Developing,,0,81,5020,21.6,78,,81,1.1,9.5,9.3,
DemocraticRepublicoftheCongo,2014,Developing,0.01,0,8,33711,21.1,79,4.33,8,1.1,9.7,9.5,
DemocraticRepublicoftheCongo,2013,Developing,0.01,0,74,88381,2.6,74,3.89,74,1.2,9.9,9.6,
DemocraticRepublicoftheCongo,2012,Developing,0.01,0,75,72029,2.1,76,3.77,75,1.5,1,9.8,
DemocraticRepublicoftheCongo,2011,Developing,1.82,0,74,133802,19.6,77,3.53,74,1.6,1.2,1,
DemocraticRepublicoftheCongo,2010,Developing,1.81,0,6,5407,19.1,76,4.4,6,1.6,1.4,1.2,
DemocraticRepublicoftheCongo,2009,Developing,2.13,0,72,57,18.6,78,5.61,72,1.7,1.6,1.4,
DemocraticRepublicoftheCongo,2008,Developing,2.09,0,65,12461,18.2,64,4.46,65,1.8,1.8,1.7,
DemocraticRepublicoftheCongo,2007,Developing,1.52,0,7,55577,17.8,72,3.61,7,1.9,11.1,1.9,
DemocraticRepublicoftheCongo,2006,Developing,1.53,0,,80123,17.3,62,3.39,62,2,11.3,11.1,
DemocraticRepublicoftheCongo,2005,Developing,1.43,0,,182485,16.9,6,3.14,6,2,11.5,11.3,
DemocraticRepublicoftheCongo,2004,Developing,1.44,0,,44934,16.5,52,3.34,54,2.1,11.7,11.5,
DemocraticRepublicoftheCongo,2003,Developing,1.83,0,,21956,16.1,47,3.2,41,2.2,11.9,11.7,
DemocraticRepublicoftheCongo,2002,Developing,1.85,0,,30466,15.7,4,2.59,38,2.4,12.1,11.9,
DemocraticRepublicoftheCongo,2001,Developing,1.9,0,,8072,15.3,3,2.67,3,2.4,12.2,12.1,
DemocraticRepublicoftheCongo,2000,Developing,1.98,0,,8282,14.9,42,1.45,4,2.5,12.4,12.3,
Denmark,2015,Developed,,0,,9,58.8,93,,93,0.1,1.1,0.9,0.923
Denmark,2014,Developed,9.64,10468.76292,,27,58.4,94,1.8,94,0.1,1.1,0.9,0.926
Denmark,2013,Developed,9.5,10261.763,,17,58.1,94,11.25,94,0.1,1.1,0.9,0.924
Denmark,2012,Developed,9.26,928.4170785,,2,57.7,94,1.98,94,0.1,1.1,0.9,0.922
Denmark,2011,Developed,10.47,10251.10872,,84,57.4,91,1.87,91,0.1,1.1,0.9,0.91
Denmark,2010,Developed,10.28,954.4865933,,5,57,9,11.8,9,0.1,1.1,0.9,0.906
Denmark,2009,Developed,10.08,9765.616994,,6,56.6,89,11.47,89,0.1,1.1,0.9,0.906
Denmark,2008,Developed,10.7,10761.18209,,14,56.3,88,1.18,88,0.1,1.1,0.9,0.906
Denmark,2007,Developed,10.99,9703.068121,,2,55.9,87,9.99,87,0.1,1.2,0.9,0.904
Denmark,2006,Developed,11.02,850.9544783,,27,55.4,93,9.92,93,0.1,1.2,0.9,0.902
Denmark,2005,Developed,11.28,7627.412444,,2,55,93,9.77,93,0.1,1.2,1,0.897
Denmark,2004,Developed,11.27,6948.839868,,0,54.4,95,9.67,95,0.1,1.2,1,0.893
Denmark,2003,Developed,11.54,650.9813544,,0,53.9,96,9.51,96,0.1,1.2,1,0.882
Denmark,2002,Developed,11.34,4801.546125,,32,53.3,98,9.33,98,0.1,1.2,1,0.875
Denmark,2001,Developed,11.56,530.4832336,,11,52.8,97,9.1,97,0.1,1.3,1,0.862
Denmark,2000,Developed,11.69,508.7496912,,14,52.2,97,8.7,97,0.1,1.3,1,0.86
Djibouti,2015,Developing,,0,84,47,35,84,,84,2.1,5.6,5.4,0.47
Djibouti,2014,Developing,0.38,24.73299655,78,0,34.4,78,1.57,78,2.1,5.6,5.4,0.467
Djibouti,2013,Developing,0.53,229.4410095,82,28,33.8,82,9.14,82,2.1,5.6,5.4,0.464
Djibouti,2012,Developing,0.52,217.2125786,81,709,33.2,81,8.95,81,1.9,5.6,5.5,0.46
Djibouti,2011,Developing,0.39,20.35974738,87,49,32.7,87,8.71,87,2.7,5.6,5.5,0.451
Djibouti,2010,Developing,0.44,187.4960097,88,7,32.2,88,8.84,88,3.1,5.6,5.6,0.441
Djibouti,2009,Developing,0.49,177.2671607,89,48,31.7,89,8.37,89,3.2,5.7,5.6,0.436
Djibouti,2008,Developing,0.49,171.7686449,88,143,31.3,89,8.5,89,3.3,5.7,5.6,0.427
Djibouti,2007,Developing,0.45,20.86878709,25,24,3.9,88,7.72,88,3.5,5.8,5.7,0.416
Djibouti,2006,Developing,1.02,121.4812077,,49,3.6,72,7.5,72,3.7,5.8,5.7,0.405
Djibouti,2005,Developing,1.23,12.70325933,,298,3.2,71,7.21,71,3.9,5.9,5.8,0.396
Djibouti,2004,Developing,1.18,106.0354659,,71,29.8,64,6.76,64,4,6,5.9,0.388
Djibouti,2003,Developing,1.02,94.13302875,,37,29.4,68,6.22,68,4.2,6.1,5.9,0.378
Djibouti,2002,Developing,1.03,13.46662004,,50,29,62,5.45,62,4.3,6.2,6,0.372
Djibouti,2001,Developing,0.95,92.4978948,,79,28.6,49,5.37,53,4.3,6.3,6.1,0.363
Djibouti,2000,Developing,1.34,91.95075901,,183,28.2,46,5.75,46,4.1,6.4,6.1,0.361
Dominica,2013,Developing,0.01,11.41955507,96,0,58.4,96,5.58,96,0.1,2.7,2.6,0.721
DominicanRepublic,2015,Developing,,0,81,0,58.9,87,,85,0.3,3.3,3.2,0.718
DominicanRepublic,2014,Developing,5.92,1088.244952,89,0,57.9,9,4.38,91,0.3,3.3,3.2,0.712
DominicanRepublic,2013,Developing,5.93,97.52211538,8,0,56.8,82,4.12,83,0.3,3.3,3.2,0.709
DominicanRepublic,2012,Developing,5.93,857.1307037,74,0,55.8,85,4.26,85,0.4,3.3,3.2,0.706
DominicanRepublic,2011,Developing,5.91,843.7876995,8,2,54.7,84,4.22,84,0.7,3.3,3.2,0.703
DominicanRepublic,2010,Developing,6.02,664.5585242,83,0,53.6,85,4.6,88,0.9,3.3,3.3,0.697
DominicanRepublic,2009,Developing,6.05,587.8828228,8,0,52.6,85,4.41,82,1.2,3.4,3.3,0.695
DominicanRepublic,2008,Developing,6.12,49.09241952,81,0,51.5,86,4.2,82,1.4,3.4,3.3,0.692
DominicanRepublic,2007,Developing,6.05,74.8217488,81,0,5.4,86,4.34,85,1.6,3.4,3.4,0.685
DominicanRepublic,2006,Developing,6.2,352.9551269,84,0,49.3,88,4.34,89,1.8,3.5,3.4,0.677
DominicanRepublic,2005,Developing,5.71,289.7418649,87,0,48.2,86,4.26,87,2,3.5,3.4,0.668
DominicanRepublic,2004,Developing,5.16,182.6162515,82,0,47.2,66,4.28,79,2.1,3.6,3.5,0.666
DominicanRepublic,2003,Developing,6.32,293.0196601,79,0,46.1,65,5.53,79,2.3,3.6,3.5,0.665
DominicanRepublic,2002,Developing,6.43,4.67359227,63,0,45.1,74,5.79,82,2.4,3.7,3.6,0.66
DominicanRepublic,2001,Developing,6.13,340.0239945,66,113,44.1,71,5.59,72,2.5,3.8,3.6,0.656
DominicanRepublic,2000,Developing,6.58,44.79247812,68,253,43.1,71,5.9,78,2.5,3.8,3.7,0.651
Ecuador,2015,Developing,,0,78,0,54.2,84,,78,0.1,1.2,1.1,0.739
Ecuador,2014,Developing,3.82,79.11626341,83,0,53.5,84,9.16,83,0.1,1.2,1.1,0.737
Ecuador,2013,Developing,3.77,59.12850204,87,0,52.8,87,7.29,87,0.1,1.3,1.1,0.725
Ecuador,2012,Developing,3.92,41.88087712,88,72,52.1,85,6.48,87,0.1,1.3,1.2,0.717
Ecuador,2011,Developing,3.99,344.7412164,88,257,51.4,85,5.92,88,0.1,1.3,1.2,0.71
Ecuador,2010,Developing,3.95,367.9285652,9,0,5.7,88,5.9,91,0.1,1.3,1.2,0.703
Ecuador,2009,Developing,3.87,282.1440066,91,0,5,91,5.58,94,0.1,1.3,1.2,0.702
Ecuador,2008,Developing,3.76,197.9303077,93,1,49.3,94,5.66,96,0.1,1.3,1.2,0.698
Ecuador,2007,Developing,3.63,19.60467787,94,0,48.6,95,5.94,96,0.2,1.4,1.3,0.696
Ecuador,2006,Developing,3.52,19.13983284,96,0,47.9,92,5.86,96,0.3,1.4,1.3,0.693
Ecuador,2005,Developing,3.54,18.09317114,92,0,47.2,89,5.87,92,0.3,1.4,1.3,0.688
Ecuador,2004,Developing,3.65,16.37920405,88,0,46.5,9,6.22,88,0.3,1.5,1.3,0.682
Ecuador,2003,Developing,3.69,18.26183281,82,0,45.8,97,6.46,87,0.3,1.5,1.4,0.679
Ecuador,2002,Developing,3.88,187.3843511,75,0,45.1,88,4.62,88,0.3,1.5,1.4,0.675
Ecuador,2001,Developing,4.13,14.5887403,69,2,44.3,9,3.86,89,0.3,1.6,1.5,0.67
Ecuador,2000,Developing,3.99,84.17527008,36,0,43.6,83,3.38,87,0.3,1.6,1.5,0.668
Egypt,2015,Developing,,0,93,5432,61.1,93,,93,0.1,2.8,2.8,0.688
Egypt,2014,Developing,0.21,0,94,1314,6.2,94,5.64,94,0.1,2.8,2.8,0.686
Egypt,2013,Developing,0.21,0,97,405,59.4,97,5.46,97,0.1,2.9,2.8,0.681
Egypt,2012,Developing,0.23,0,93,245,58.6,93,5.29,93,0.1,2.9,2.8,0.673
Egypt,2011,Developing,0.22,0,96,26,57.8,96,5.4,96,0.1,2.9,2.9,0.671
Egypt,2010,Developing,0.22,0,97,16,57,97,4.8,97,0.1,3,2.9,0.665
Egypt,2009,Developing,0.21,0,97,608,56.2,97,5.1,97,0.1,3,3,0.659
Egypt,2008,Developing,0.24,0,97,668,55.5,97,4.82,97,0.1,3.1,3,0.651
Egypt,2007,Developing,0.21,0,98,1684,54.8,98,4.95,98,0.1,3.1,3.1,0.644
Egypt,2006,Developing,0.18,0,98,953,54.2,98,5.24,98,0.1,3.2,3.1,0.636
Egypt,2005,Developing,0.16,0,98,77,53.5,98,5.6,98,0.1,3.2,3.2,0.629
Egypt,2004,Developing,0.16,0,97,80,52.9,97,5.21,97,0.1,3.3,3.2,0.623
Egypt,2003,Developing,0.15,0,98,164,52.3,98,5.41,98,0.1,3.3,3.3,0.621
Egypt,2002,Developing,0.15,0,97,653,51.8,97,5.97,97,0.1,3.4,3.4,0.617
Egypt,2001,Developing,0.14,0,99,2150,51.2,99,5.75,99,0.1,3.5,3.4,0.612
Egypt,2000,Developing,0.14,0,98,2633,5.7,98,5.55,98,0.1,3.6,3.5,0.606
ElSalvador,2015,Developing,,0,91,0,56.1,92,,91,0.2,1.6,1.5,0.678
ElSalvador,2014,Developing,2.52,665.7260253,93,0,55.4,93,6.77,94,0.2,1.6,1.6,0.676
ElSalvador,2013,Developing,2.42,653.6925016,92,0,54.7,92,6.95,92,0.2,1.6,1.6,0.675
ElSalvador,2012,Developing,2.48,591.7757569,92,0,54.1,93,6.7,92,0.3,1.6,1.6,0.67
ElSalvador,2011,Developing,2.37,549.2783081,89,0,53.4,9,6.81,89,0.3,1.7,1.6,0.666
ElSalvador,2010,Developing,2.36,469.3904193,89,0,52.8,89,6.91,89,0.3,1.7,1.6,0.662
ElSalvador,2009,Developing,2.55,416.4338399,91,0,52.1,91,6.83,91,0.3,1.7,1.6,0.662
ElSalvador,2008,Developing,2.68,53.95949877,98,0,51.4,98,6.21,98,0.3,1.8,1.7,0.659
ElSalvador,2007,Developing,2.83,52.30172215,99,0,5.8,99,6.32,99,0.3,1.8,1.7,0.657
ElSalvador,2006,Developing,2.77,57.74562629,96,0,5.1,96,6.68,96,0.2,1.8,1.7,0.651
ElSalvador,2005,Developing,2.77,440.6027042,89,0,49.4,89,7.19,89,0.2,1.9,1.8,0.644
ElSalvador,2004,Developing,2.9,398.6058322,9,0,48.6,9,7.3,9,0.3,1.9,1.8,0.636
ElSalvador,2003,Developing,3.1,400.1342971,94,0,47.8,93,7.61,94,0.3,2,1.9,0.628
ElSalvador,2002,Developing,2.97,29.68529375,81,0,47,81,7.9,81,0.4,2,1.9,0.621
ElSalvador,2001,Developing,2.88,332.1056586,75,2,46.2,94,8.2,92,0.4,2.1,2,0.615
ElSalvador,2000,Developing,2.79,353.6690328,99,0,45.3,98,8.17,99,0.4,2.1,2,0.607
EquatorialGuinea,2015,Developing,,0,16,1250,24.5,17,,16,4.2,8.4,8.3,0.582
EquatorialGuinea,2014,Developing,0.01,13.40477417,2,13,24,24,3.8,2,4.4,8.5,8.4,0.582
EquatorialGuinea,2013,Developing,10.72,156.3907685,,321,23.5,3,3.73,3,5.7,8.6,8.6,0.586
EquatorialGuinea,2012,Developing,11.89,1500.412635,,1190,23,3,4,24,8.2,8.7,8.7,0.583
EquatorialGuinea,2011,Developing,10.99,1493.051277,,0,22.6,39,3.29,41,7.7,8.9,8.8,0.58
EquatorialGuinea,2010,Developing,9.93,1192.696619,,0,22.1,59,3.84,44,7.2,9,9,0.589
EquatorialGuinea,2009,Developing,7.97,115.0692415,,78,21.7,57,5.32,43,7.3,9.2,9.2,0.59
EquatorialGuinea,2008,Developing,8.34,1705.678619,,436,21.3,55,2.31,42,6.3,9.3,9.3,0.592
EquatorialGuinea,2007,Developing,6.86,1024.519543,,5,2.9,54,2.25,41,5.9,9.5,9.5,0.587
EquatorialGuinea,2006,Developing,7.28,827.5979335,,0,2.5,52,2.13,4,5.3,9.7,9.6,0.569
EquatorialGuinea,2005,Developing,7.19,12.0661671,,0,2.2,5,1.63,39,4.9,9.8,9.8,0.563
EquatorialGuinea,2004,Developing,6.28,44.54768305,,38,19.8,48,2.4,38,4.4,1,1,0.553
EquatorialGuinea,2003,Developing,7.13,309.7834587,,18,19.5,46,2.23,37,3.6,1.2,1.1,0.554
EquatorialGuinea,2002,Developing,6.01,234.7874207,,24,19.1,44,2.5,36,2.9,1.4,1.3,0.542
EquatorialGuinea,2001,Developing,5.07,197.7839552,,1339,18.7,43,1.78,35,2.3,1.6,1.4,0.527
EquatorialGuinea,2000,Developing,4.46,14.95451321,,0,18.3,41,2.73,34,1.9,1.7,1.6,0
Eritrea,2015,Developing,,0,95,198,18.6,95,,95,0.4,8.4,8.2,0.418
Eritrea,2014,Developing,0.01,0,94,127,18,94,3.34,94,0.4,8.5,8.3,0.416
Eritrea,2013,Developing,0.01,0,94,45,17.5,94,3.1,94,0.5,8.6,8.4,0.414
